id,rated,variant,speed,perf,createdAt,lastMoveAt,status,players,opening,moves,clock,winner,tournament
zbRWnOhV,True,standard,blitz,blitz,2021-11-18 20:53:18.752000+00:00,2021-11-18 20:59:19.038000+00:00,draw,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2153, 'ratingDiff': 1}, 'black': {'user': {'name': 'paldeescombra88', 'id': 'paldeescombra88'}, 'rating': 2179, 'ratingDiff': 0}}","{'eco': 'C63', 'name': 'Ruy Lopez: Schliemann Defense', 'ply': 6}",e4 e5 Nf3 Nc6 Bb5 f5 d3 fxe4 dxe4 Nf6 Nc3 Bb4 Qe2 Bxc3+ bxc3 d6 O-O O-O Bc4+ Kh8 Ng5 Qe8 a4 Qg6 Rb1 h6 Ne6 Bxe6 Bxe6 Nxe4 Rxb7 Nxc3 Qc4 Nd4 Be3 Nce2+ Kh1 Qh5 Bxd4 Nxd4 Qxc7 Nxe6 Qxd6 Qf5 Re7 Rae8 Rxa7 Nf4 Qc7 Rg8 a5 Qe4 f3 Qe2 Rg1 Nd5 Qb7 Ne3 Qe4 Rc8 Qxe5 Rxc2 Qg3 Nf1 Qh3 Qf2 Ra6 Rc7 Rxh6+ gxh6 Qxh6+ Rh7 Qf6+ Rgg7 Qf8+ Rg8 Qf6+ Rhg7 Qh6+ Rh7 Qf6+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",,
W3YLzXlG,True,standard,blitz,blitz,2021-11-18 20:42:06.560000+00:00,2021-11-18 20:46:12.745000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2154, 'ratingDiff': 13}, 'black': {'user': {'name': 'BerkNZaimov', 'id': 'berknzaimov'}, 'rating': 2154, 'ratingDiff': -5}}","{'eco': 'B10', 'name': 'Caro-Kann Defense: Euwe Attack', 'ply': 3}",e4 c6 b3 d5 exd5 cxd5 Bb2 Nf6 Nf3 g6 a3 Bg7 g3 O-O Bg2 Nc6 O-O Re8 Re1 Bg4 h3 Bxf3 Qxf3 e5 d3 Nh5 Qxd5 Qb6 Nd2 Nxg3 Nc4 Qd8 fxg3 Qg5 Kh2 Rad8 Qf3 b5 Qxc6 bxc4 bxc4 Rc8 Qa4 Rb8 Bc3 e4 Bxg7 Kxg7 Bxe4 Rb2 Qxe8 Rxc2+ Bg2 Qd2 Qe5+ Kg8 Rg1 Qxd3 Raf1,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
FNh7a0ct,True,standard,blitz,blitz,2021-11-18 20:41:46.962000+00:00,2021-11-18 20:41:57.161000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2167, 'ratingDiff': -13}, 'black': {'user': {'name': 'Milady2020', 'id': 'milady2020'}, 'rating': 2158, 'ratingDiff': 6}}","{'eco': 'B01', 'name': 'Scandinavian Defense: Mieses-Kotroc Variation', 'ply': 4}",e4 d5 exd5 Qxd5 b3 Qe5+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",black,
zY4buqYk,True,standard,blitz,blitz,2021-11-18 20:36:02.897000+00:00,2021-11-18 20:40:22.133000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2196, 'ratingDiff': -13}, 'black': {'user': {'name': 'Bonzzza', 'id': 'bonzzza'}, 'rating': 2202, 'ratingDiff': 5}}","{'eco': 'C00', 'name': ""French Defense: Queen's Knight"", 'ply': 3}",Nc3 e6 e4 b6 b3 Bb7 Bb2 Bb4 d3 Nf6 Nf3 d6 g3 O-O Bg2 d5 e5 d4 exf6 dxc3 Bc1 Qxf6 a3 Bc5 b4 Bd6 O-O c5 bxc5 Bxc5 Be3 Nd7 a4 Rac8 a5 Bxf3 Bxf3 Ne5 Bg2 Rfd8 Qe1 Nf3+ Bxf3 Qxf3 axb6 axb6 Ra7 h6 Bxc5 Rxc5 Qb1 b5 Qb4 Rdd5 Qa5 Qe2 Qd8+ Rxd8,"{'initial': 180, 'increment': 0, 'totalTime': 180}",black,
lOF9GiDV,True,standard,blitz,blitz,2021-11-16 21:05:27.071000+00:00,2021-11-16 21:12:01.367000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2196, 'ratingDiff': 15}, 'black': {'user': {'name': 'tipor', 'id': 'tipor'}, 'rating': 2204, 'ratingDiff': -5}}","{'eco': 'A01', 'name': 'Nimzo-Larsen Attack: English Variation', 'ply': 2}",b3 c5 Bb2 Nc6 e4 e6 Nf3 Nf6 Nc3 g6 Be2 Bg7 O-O O-O h3 d5 exd5 Nxd5 Na4 b6 Re1 Nde7 Bf1 Bb7 Bxg7 Kxg7 Qc1 Qd6 Qb2+ f6 Ng5 e5 Ne4 Qd7 Bb5 a6 Bxc6 Qxc6 f3 Rad8 d3 Nf5 Nac3 Nd4 Ne2 Ne6 a4 Rde8 a5 b5 h4 h6 Qc3 Rc8 Nf2 Rfe8 Ng4 h5 Nf2 Qd5 Rad1 Nd4 Qd2 Nf5 Ne4 Nxh4 N2g3 Rcd8 Qf2 Qd4 Qxd4 cxd4 f4 Bxe4 Nxe4 f5 Nc5 e4 dxe4 fxe4 Rxe4 Rxe4 Nxe4 Nf5 Nc5 Ne3 Re1 Nxc2 Re2 d3 Rd2 Nb4 Ne6+ Kf6 Nxd8 Ke7 Nc6+ Kd6 Nxb4 Kc5 Rxd3 Kxb4 Rf3 Kxa5 Kf2 Kb4 g4 a5 gxh5 gxh5 Rh3 a4 bxa4 bxa4 Rxh5 a3 Rh1 a2 Kf3 Kc4 Ra1 Kd5 Kg4 Ke6 Rxa2 Kf6 Rf2 Ke6 Re2+ Kf7 Re5 Kf6 f5 Kf7 Kg5 Kg7 Re6 Kf7 Kf4 Kg7 Ke5 Kf8 f6,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
o9SFHNkW,True,standard,blitz,blitz,2021-11-16 20:55:05.539000+00:00,2021-11-16 20:57:51.100000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2197, 'ratingDiff': -15}, 'black': {'user': {'name': 'guardman2002', 'id': 'guardman2002'}, 'rating': 2208, 'ratingDiff': 5}}","{'eco': 'B20', 'name': 'Sicilian Defense: Snyder Variation', 'ply': 3}",e4 c5 b3 d6 Bb2 Nf6 d3 e6 Nd2 Be7 g3 O-O Bg2 Nc6 Ne2 Bd7 h4 h5 Nf4 g6 Qe2 b5 f3 Nd4 Qd1 Qc7 c3 Nc6 Nh3 a5 g4 b4 gxh5 Nxh5 Ng5 d5 Rh3 Nf4 Rh2 Nxd3+ Ke2 Nxb2 Qc2 Qxh2,"{'initial': 180, 'increment': 0, 'totalTime': 180}",black,
gOn6UXN9,True,standard,blitz,blitz,2021-11-12 23:55:07.660000+00:00,2021-11-13 00:00:32.109000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2177, 'ratingDiff': 19}, 'black': {'user': {'name': 'Shepard2001', 'id': 'shepard2001'}, 'rating': 2184, 'ratingDiff': -5}}","{'eco': 'B20', 'name': 'Sicilian Defense: Myers Attack', 'ply': 3}",e4 c5 a4 d6 Nc3 Nf6 Nf3 Nc6 Bc4 e6 O-O Be7 d4 cxd4 Nxd4 O-O Bb3 Qb6 Be3 Qd8 f4 Qb6 Qf3 e5 Nf5 Qd8 Nxe7+ Qxe7 f5 Bd7 Bg5 Nd4 Qg3 Bc6 Rae1 Nxb3 cxb3 Rfd8 b4 d5 exd5 Bxd5 Rxe5 Qd6 Bxf6 Qxf6 Rxd5 Rxd5 Nxd5,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
poJEOA8H,True,standard,blitz,blitz,2021-06-18 18:21:46.157000+00:00,2021-06-18 18:28:27.774000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2187, 'ratingDiff': 10}, 'black': {'user': {'name': 'sajjad1383', 'id': 'sajjad1383'}, 'rating': 2170, 'ratingDiff': -6}}","{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation, Tal Variation', 'ply': 7}",e4 c6 d4 d5 e5 Bf5 h4 h5 Nf3 e6 Bd3 Bxd3 cxd3 Nd7 Nc3 Ne7 Bg5 Qa5 O-O c5 dxc5 Nxc5 d4 Nd7 Qb3 Qb6 Qxb6 Nxb6 Nb5 Kd7 Nd6 f6 Be3 Rb8 b3 Nc6 Nf7 Rg8 Rfc1 Ke8 Nd6+ Bxd6 exd6 Kd7 Bf4 Nc8 Rc5 Nxd6 Rac1 Rbc8 a3 Ne4 Rb5 b6 a4 Na5 Rxc8 Rxc8 b4 Nc4 a5 a6 Rxb6 Nxb6 axb6 Kc6 Bc7 Nc3 Ne1 Nb5 Bg3 Kxb6 Nd3 Nxd4 Nc5 e5 f4 Ne2+ Kf2 Nxg3 Kxg3 e4 Kf2 a5 Nd7+ Kc7 Nc5 axb4 Na6+ Kb6 Nxb4 Rc2+ Ke3 Rc3+ Kd4 Rb3 Nxd5+ Kc6 Ne3 Kd6 Kxe4 Rb4+ Kf3 Rd4 Nf5+ Ke6 Nxd4+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
BOjo7Fpx,True,standard,blitz,blitz,2021-06-18 18:12:34.853000+00:00,2021-06-18 18:17:24.168000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2210, 'ratingDiff': -12}, 'black': {'user': {'name': 'SOPIAN_RIADI', 'id': 'sopian_riadi'}, 'rating': 2198, 'ratingDiff': 6}}","{'eco': 'B90', 'name': 'Sicilian Defense: Najdorf Variation, English Attack', 'ply': 11}",e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 e6 Be2 Be7 f3 Nbd7 Qd2 Qc7 h4 b5 h5 h6 g4 Nh7 Nd1 Bb7 Qc3 Qd8 Nc6 Bxc6 Qxc6 O-O Qc3 Rc8 Qb3 Qa5+ Bd2 Qc7 Bc3 d5 exd5 Qg3+ Kd2 Bg5+ Kd3 Nc5+ Kd4 Nxb3+ axb3 e5+ Kd3 e4+ Kxe4 Rfe8+ Kd3 Nf6 Ne3 Rxe3+ Kd2 Rexc3+ Kd1 Rxc2 Rxa6 Qf4,"{'initial': 180, 'increment': 0, 'totalTime': 180}",black,
9Qb8FN9U,True,standard,blitz,blitz,2021-05-17 21:36:13.073000+00:00,2021-05-17 21:41:34.333000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2189, 'ratingDiff': 9}, 'black': {'user': {'name': 'elcurrojimenez', 'id': 'elcurrojimenez'}, 'rating': 2170, 'ratingDiff': -5}}","{'eco': 'B50', 'name': 'Sicilian Defense: Modern Variations', 'ply': 4}",e4 c5 Nf3 d6 Bc4 e6 d3 Nc6 O-O Nf6 c3 Be7 Nbd2 O-O Re1 a6 a4 Bd7 Nf1 Rb8 Bf4 b5 axb5 axb5 Bb3 Nh5 Be3 Nf6 Qd2 Ng4 Bf4 Nf6 Ra6 Qc8 Rea1 Ng4 h3 Nge5 Nxe5 Nxe5 Ne3 Bc6 Bxe5 dxe5 Ng4 Bd6 Qg5 f6 Qh5 Qd7 Qf5 Rbe8 Ra7 Bc7 Bxe6+ Rxe6 Rxc7 Qe8 Ra6 Bd7 Raa7 Rd6 Rxd7 Rxd7 Rxd7 Qa8 Qe6+ Kh8 Qe7 Rg8 Nxf6 Qa1+ Kh2 gxf6 Qxh7#,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
