game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
d5c639dc-3cda-4e8f-b956-1b037315a172,1,Rated Classical game,https://lichess.org/j1dkb5dw,????.??.??,?,BFG9k,mamalak,1-0,1639,+5,1403,-8,,,BFG9k,1639,mamalak,1403,236,C00,Normal,600+8,2012.12.31,23:01:03,,,2021-11-08T00:16:11+0000,smallsubset.pgn
09b0a2dd-edb7-43b6-8e69-15a82801be5e,2,Rated Classical game,https://lichess.org/a9tcp02g,????.??.??,?,Desmond_Wilson,savinka59,1-0,1654,+19,1919,-22,,,Desmond_Wilson,1654,savinka59,1919,-265,D04,Normal,480+2,2012.12.31,23:04:12,,,2021-11-08T00:16:11+0000,smallsubset.pgn
de802d91-2d44-4257-9d22-1e261e359f32,3,Rated Classical game,https://lichess.org/szom2tog,????.??.??,?,Kozakmamay007,VanillaShamanilla,1-0,1643,+13,1747,-94,,,Kozakmamay007,1643,VanillaShamanilla,1747,-104,C50,Normal,420+17,2012.12.31,23:03:15,,,2021-11-08T00:16:11+0000,smallsubset.pgn
e14dceac-c1c5-4201-b29b-1ba81857a934,4,Rated Bullet game,https://lichess.org/rklpc7mk,????.??.??,?,Naitero_Nagasaki,800,0-1,1824,-6,1973,+8,,,800,1973,Naitero_Nagasaki,1824,149,B12,Normal,60+1,2012.12.31,23:04:57,,,2021-11-08T00:16:11+0000,smallsubset.pgn
2b396aca-23bd-4142-bb2d-5ea9f15902e0,5,Rated Bullet game,https://lichess.org/1xb3os63,????.??.??,?,nichiren1967,Naitero_Nagasaki,0-1,1765,-9,1815,+9,,,Naitero_Nagasaki,1815,nichiren1967,1765,50,C00,Normal,60+1,2012.12.31,23:02:37,,,2021-11-08T00:16:11+0000,smallsubset.pgn
31fca453-e38a-4b0b-b9b7-e0a5bcb24753,6,Rated Blitz game,https://lichess.org/6x5nq6qd,????.??.??,?,sport,shamirbj,1-0,1477,+12,1487,-11,,,sport,1477,shamirbj,1487,-10,B00,Time forfeit,300+3,2012.12.31,23:09:21,,,2021-11-08T00:16:11+0000,smallsubset.pgn
dc0704ab-f533-4fad-b13a-77299afaac04,7,Rated Blitz game,https://lichess.org/fl7asfa0,????.??.??,?,tiggran,arion_6,0-1,1541,-8,1500,+196,,,arion_6,1500,tiggran,1541,-41,C53,Normal,300+0,2012.12.31,23:02:14,,,2021-11-08T00:16:11+0000,smallsubset.pgn
743d3b2a-f98d-493e-a807-8995d2baf89a,8,Rated Classical game,https://lichess.org/7b44wxzu,????.??.??,?,hostking,troepianiz,1-0,1765,+10,1752,-10,,,hostking,1765,troepianiz,1752,13,C20,Normal,540+0,2012.12.31,23:06:10,,,2021-11-08T00:16:11+0000,smallsubset.pgn
65b7c3bd-3e08-4104-8afc-598b2df00361,9,Rated Classical game,https://lichess.org/7rzcutsf,????.??.??,?,manos68,jtkjtkful,1-0,1445,+4,1169,-15,,,manos68,1445,jtkjtkful,1169,276,A43,Normal,900+0,2012.12.31,23:03:50,,,2021-11-08T00:16:11+0000,smallsubset.pgn
6e71fd48-ae7d-44d3-8295-3226d1f0ed99,10,Rated Blitz game,https://lichess.org/9opx3qh7,????.??.??,?,adamsrj,hamiakaz,0-1,1522,-14,1428,+14,,,hamiakaz,1428,adamsrj,1522,-94,A40,Normal,180+5,2012.12.31,23:02:48,,,2021-11-08T00:16:11+0000,smallsubset.pgn
cd72da38-7100-4fa9-9922-675c65fc3560,11,Rated Classical game,https://lichess.org/1hi3aveq,????.??.??,?,BFG9k,Sagaz,0-1,1644,-16,1544,+14,,,Sagaz,1544,BFG9k,1644,-100,B06,Normal,600+8,2012.12.31,23:07:33,,,2021-11-08T00:16:11+0000,smallsubset.pgn
b2fdb4e6-7b24-480a-9431-40f0c6487cd0,12,Rated Classical game,https://lichess.org/n5crd00d,????.??.??,?,arion_6,Naitero_Nagasaki,0-1,1957,-158,1755,+14,,,Naitero_Nagasaki,1755,arion_6,1957,-202,C13,Normal,300+8,2012.12.31,23:09:29,,,2021-11-08T00:16:11+0000,smallsubset.pgn
ba5f712b-96a2-4e6d-86c3-c26250ebeb84,13,Rated Classical game,https://lichess.org/iinnkv77,????.??.??,?,Kozakmamay007,vadi,1-0,1656,+16,1812,-17,,,Kozakmamay007,1656,vadi,1812,-156,C50,Normal,420+17,2012.12.31,23:10:03,,,2021-11-08T00:16:11+0000,smallsubset.pgn
