id,rated,variant,speed,perf,createdAt,lastMoveAt,status,players,winner,opening,moves,clock,tournament
poJEOA8H,True,standard,blitz,blitz,2021-06-18 18:21:46.157000+00:00,2021-06-18 18:28:27.774000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2187, 'ratingDiff': 10}, 'black': {'user': {'name': 'sajjad1383', 'id': 'sajjad1383'}, 'rating': 2170, 'ratingDiff': -6}}",white,"{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation, Tal Variation', 'ply': 7}",e4 c6 d4 d5 e5 Bf5 h4 h5 Nf3 e6 Bd3 Bxd3 cxd3 Nd7 Nc3 Ne7 Bg5 Qa5 O-O c5 dxc5 Nxc5 d4 Nd7 Qb3 Qb6 Qxb6 Nxb6 Nb5 Kd7 Nd6 f6 Be3 Rb8 b3 Nc6 Nf7 Rg8 Rfc1 Ke8 Nd6+ Bxd6 exd6 Kd7 Bf4 Nc8 Rc5 Nxd6 Rac1 Rbc8 a3 Ne4 Rb5 b6 a4 Na5 Rxc8 Rxc8 b4 Nc4 a5 a6 Rxb6 Nxb6 axb6 Kc6 Bc7 Nc3 Ne1 Nb5 Bg3 Kxb6 Nd3 Nxd4 Nc5 e5 f4 Ne2+ Kf2 Nxg3 Kxg3 e4 Kf2 a5 Nd7+ Kc7 Nc5 axb4 Na6+ Kb6 Nxb4 Rc2+ Ke3 Rc3+ Kd4 Rb3 Nxd5+ Kc6 Ne3 Kd6 Kxe4 Rb4+ Kf3 Rd4 Nf5+ Ke6 Nxd4+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",
BOjo7Fpx,True,standard,blitz,blitz,2021-06-18 18:12:34.853000+00:00,2021-06-18 18:17:24.168000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2210, 'ratingDiff': -12}, 'black': {'user': {'name': 'SOPIAN_RIADI', 'id': 'sopian_riadi'}, 'rating': 2198, 'ratingDiff': 6}}",black,"{'eco': 'B90', 'name': 'Sicilian Defense: Najdorf Variation, English Attack', 'ply': 11}",e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 e6 Be2 Be7 f3 Nbd7 Qd2 Qc7 h4 b5 h5 h6 g4 Nh7 Nd1 Bb7 Qc3 Qd8 Nc6 Bxc6 Qxc6 O-O Qc3 Rc8 Qb3 Qa5+ Bd2 Qc7 Bc3 d5 exd5 Qg3+ Kd2 Bg5+ Kd3 Nc5+ Kd4 Nxb3+ axb3 e5+ Kd3 e4+ Kxe4 Rfe8+ Kd3 Nf6 Ne3 Rxe3+ Kd2 Rexc3+ Kd1 Rxc2 Rxa6 Qf4,"{'initial': 180, 'increment': 0, 'totalTime': 180}",
9Qb8FN9U,True,standard,blitz,blitz,2021-05-17 21:36:13.073000+00:00,2021-05-17 21:41:34.333000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2189, 'ratingDiff': 9}, 'black': {'user': {'name': 'elcurrojimenez', 'id': 'elcurrojimenez'}, 'rating': 2170, 'ratingDiff': -5}}",white,"{'eco': 'B50', 'name': 'Sicilian Defense: Modern Variations', 'ply': 4}",e4 c5 Nf3 d6 Bc4 e6 d3 Nc6 O-O Nf6 c3 Be7 Nbd2 O-O Re1 a6 a4 Bd7 Nf1 Rb8 Bf4 b5 axb5 axb5 Bb3 Nh5 Be3 Nf6 Qd2 Ng4 Bf4 Nf6 Ra6 Qc8 Rea1 Ng4 h3 Nge5 Nxe5 Nxe5 Ne3 Bc6 Bxe5 dxe5 Ng4 Bd6 Qg5 f6 Qh5 Qd7 Qf5 Rbe8 Ra7 Bc7 Bxe6+ Rxe6 Rxc7 Qe8 Ra6 Bd7 Raa7 Rd6 Rxd7 Rxd7 Rxd7 Qa8 Qe6+ Kh8 Qe7 Rg8 Nxf6 Qa1+ Kh2 gxf6 Qxh7#,"{'initial': 180, 'increment': 0, 'totalTime': 180}",
QMaY8VB3,True,standard,blitz,blitz,2021-05-17 21:33:24.548000+00:00,2021-05-17 21:36:05.456000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2200, 'ratingDiff': -11}, 'black': {'user': {'name': 'IckerElTigre', 'id': 'ickereltigre'}, 'rating': 2157, 'ratingDiff': 6}}",black,"{'eco': 'C41', 'name': 'Philidor Defense', 'ply': 6}",e4 e5 Nf3 d6 Bc4 Be7 O-O Nf6 Re1 O-O c3 Nc6 h3 Nxe4 Rxe4 d5 Bxd5 Qxd5 Re1 Bf5 Qb3 Qxb3 axb3 Bf6 Na3 a6 Nc4 Rfe8 g4 Bd3 g5 Bxc4 gxf6 Bxb3 fxg7 Kxg7 Ra3 Bd5 d3 Bxf3,"{'initial': 180, 'increment': 0, 'totalTime': 180}",
KNA9X685,True,standard,bullet,bullet,2021-04-01 22:07:39.752000+00:00,2021-04-01 22:09:19.418000+00:00,timeout,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2233, 'ratingDiff': -7}, 'black': {'user': {'name': 'temomc', 'id': 'temomc'}, 'rating': 2108, 'ratingDiff': 8}}",black,"{'eco': 'B90', 'name': 'Sicilian Defense: Najdorf Variation, English Attack, Anti-English', 'ply': 12}",e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 Ng4 Bc1 Nc6 h3 Nf6 Be3 e5 Nb3 Be6 Bd3 Be7 O-O d5 exd5 Nxd5 Nxd5 Bxd5 Nd2 O-O Ne4 f5 Nc3 Be6 Be2 Nd4 Bd3 Rc8 Bxd4 Qxd4 Be2 Bf6 Bf3 e4 Qxd4 Bxd4 Be2 Bxc3 bxc3 Rxc3 Rfd1 Rxc2 Bf1 Rfc8 Rd6 Kf7 Rad1 Rc1 Rxc1 Rxc1 Rb6 Bd5 g3 Bc4 Rxb7+ Kf6 Rc7 Rxf1+ Kg2 Rd1 Rxc4 Rd2 Ra4 Rd6 Rxa6 Rxa6,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
fteHflkb,True,standard,bullet,bullet,2021-04-01 20:01:16.565000+00:00,2021-04-01 20:04:06.446000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2225, 'ratingDiff': -2}, 'black': {'user': {'name': 'ramone7', 'id': 'ramone7'}, 'rating': 2131, 'ratingDiff': 1}}",,"{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense', 'ply': 6}",e4 c6 d4 d5 e5 c5 c3 Nc6 Nf3 Bg4 Bb5 Bxf3 Qxf3 e6 O-O a6 Bxc6+ bxc6 Be3 cxd4 cxd4 Ne7 Nc3 Nf5 Qe2 Be7 Na4 O-O a3 g6 b4 a5 Nc5 axb4 axb4 Rxa1 Rxa1 Bxc5 bxc5 Qc7 h3 Nxe3 fxe3 Qb7 Qa2 Rb8 Kh2 Kg7 Rf1 Qb3 Qa7 Rb7 Qa8 Rb8 Qxc6 Qxe3 Qd7 Rf8 Qe7 Qxd4 Qf6+ Kg8 c6 Qc4 c7 Qxc7 h4 Qc4 h5 Qg4 h6 Qh5+ Kg1 Qxh6 Rf3 Qg7 Qg5 f6 exf6 Qf7 g4 e5 Qxe5 Re8 Qd4 Re4 Qd3 Rxg4+ Kf2 Re4 Qb3 d4 Qb8+ Qf8 Qg3 Re3 f7+ Kg7 Rxe3 dxe3+ Kxe3 Qxf7 Qf3 Qf5 Qe4 Qxe4+ Kxe4 Kf6 Kf4 h6 Kg3 h5 Kh4 g5+ Kg3 Kf5 Kh3 Kf4 Kg2 g4 Kh2 Kf3 Kg1 h4 Kh1 h3 Kg1 h2+ Kxh2 g3+ Kg1,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
dNh8Xbb2,True,standard,bullet,bullet,2021-03-31 23:57:11.927000+00:00,2021-03-31 23:59:07.494000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2215, 'ratingDiff': 5}, 'black': {'user': {'name': 'BrocktonBlockbuster', 'id': 'brocktonblockbuster'}, 'rating': 2165, 'ratingDiff': -5}}",white,"{'eco': 'B27', 'name': 'Sicilian Defense: Hyperaccelerated Fianchetto', 'ply': 5}",e4 c5 Nf3 g6 d4 cxd4 Qxd4 Nf6 Qa4 Nc6 Nc3 Bg7 Bd3 d6 O-O O-O h3 Bd7 Bg5 a6 Qb3 Rc8 Qa3 b5 Nd5 Nxd5 exd5 Ne5 Nxe5 Bxe5 Bh6 Bg7 Bxg7 Kxg7 c3 Rc5 Qb3 e6 dxe6 Bxe6 Qd1 Qd7 Qf3 Rd8 Rfe1 Bc4 Rad1 Bxd3 Rxd3 Rc4 Red1 Rc6 Rd5 Re8 a4 bxa4 Ra5 Rb6 h4 Re6 h5 Qc6 Qf4 Rf6 Qg5 Rf5 Qe3 Rxa5 h6+ Kf8 Re1 Qd7 Qd4 Rb7 Qh8#,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
3ZX8xb1f,True,standard,bullet,bullet,2021-03-30 16:57:23.853000+00:00,2021-03-30 16:58:30.898000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2227, 'ratingDiff': -7}, 'black': {'user': {'name': 'Tamer1Salah', 'id': 'tamer1salah'}, 'rating': 2171, 'ratingDiff': 7}}",black,"{'eco': 'B00', 'name': 'Nimzowitsch Defense: Scandinavian Variation, Advance Variation', 'ply': 5}",e4 Nc6 d4 d5 e5 Bf5 Nf3 e6 c3 Nge7 Bd3 Bg6 O-O Nf5 Re1 Be7 Nbd2 Nh4 Bxg6 hxg6 Nf1 Qd7 Ng3 O-O-O h3 Rh7 a4 Rdh8 b4 f5 exf6 gxf6 a5 Bd6 b5 Nd8 b6 a6 bxc7 Qxc7 Ba3 Bxg3 fxg3 Qxg3 Rf1 Qxg2#,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
NAFtDyrF,True,standard,bullet,bullet,2021-03-27 03:05:29.219000+00:00,2021-03-27 03:07:43.482000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2229, 'ratingDiff': -7}, 'black': {'user': {'name': 'phankhiem2007', 'id': 'phankhiem2007'}, 'rating': 2165, 'ratingDiff': 7}}",black,"{'eco': 'B00', 'name': 'Nimzowitsch Defense: Scandinavian Variation, Exchange Variation', 'ply': 6}",e4 d5 exd5 Qxd5 d4 Nc6 c3 Bf5 Nf3 Bxb1 Rxb1 Qe4+ Be2 Qxb1 O-O Nf6 a4 Qg6 Bd3 Qh5 Be2 e6 Qb3 Na5 Qc2 Bd6 h3 O-O b4 Nc6 b5 Ne7 Bd3 Ned5 Re1 Nf4 Bf1 Qg6 Ne5 Qxc2 Bxf4 Nd5 Bd3 Qxd3 Nxd3 Nxf4 Nb4 Bxb4 cxb4 Nd3 Re3 Nxb4 Rb3 a5 bxa6 Nxa6 Rxb7 Rfd8 Rb3 Rxd4 g3 Rxa4 Kg2 Nc5 h4 Nxb3 h5 Ra2 h6 gxh6 Kh3 Nc1 f4 Rf2 Kg4 Raa2 f5 Ne2 fxe6 Ra4+ Kh3 fxe6 g4 Raf4 Kh4 Rh2#,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
mZdP05Dw,True,standard,bullet,bullet,2021-03-26 20:28:37.158000+00:00,2021-03-26 20:30:43.797000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2235, 'ratingDiff': -6}, 'black': {'user': {'name': 'PinkTaco', 'id': 'pinktaco'}, 'rating': 2184, 'ratingDiff': 7}}",black,"{'eco': 'A41', 'name': ""King's Pawn Game: Maróczy Defense"", 'ply': 4}",e4 d6 d4 e5 Nd2 Nc6 Ngf3 exd4 Bb5 Bg4 h3 Bxf3 Nxf3 Ne7 Nxd4 a6 Ba4 b5 Bb3 Nxd4 Qxd4 c5 Qe3 c4 O-O cxb3 axb3 Ng6 Qd4 Ne5 f4 Nc6 Qd5 Qd7 e5 Be7 Rd1 O-O Be3 Rac8 exd6 Bf6 c3 Rfe8 Bc5 Nd8 b4 Ne6 f5 Nxc5 bxc5 Re5 Qd4 Rexc5 Qg4 Rxf5 Rxa6 Rd8 Kh2 h5 Qe4 Be5+ g3 Rg5 Rd3 Qe6 d7 Bxg3+,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
